tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
-0.10857,1.035049,1.324795,0.162097,1.75135,-0.996256,-1.448062,-0.59769,-0.799757,-0.791586,1.330491,1.29233,1.351235,unstable
-0.403701,-1.024927,-1.443747,1.533769,0.245687,-0.506422,-1.193764,1.273439,1.005475,1.151509,1.432365,0.980773,-0.61477,stable
1.493547,0.973557,-1.06278,-0.722252,1.105049,0.3308,-1.147893,-1.102322,1.134258,0.686417,-1.325346,-0.032877,0.694588,unstable
-0.480592,1.433298,0.296978,0.379992,2.145815,-1.027826,-1.455479,-1.243868,1.138587,0.316422,-1.146044,0.62885,1.003562,unstable
1.249529,0.121538,-0.118358,0.767975,-1.225474,-0.338845,0.74061,1.726821,0.25525,1.672351,-1.018867,-0.258317,1.266545,unstable
0.777808,0.001157,-1.577177,-1.642664,0.300607,-0.413866,-0.404012,0.295738,-0.36275,0.131868,-1.405164,-1.634427,-1.154114,stable
-0.258216,-1.196019,1.189838,0.843023,0.814766,-0.869245,-1.181732,0.635769,-0.4201,-1.471634,-1.309412,-0.244364,-0.865633,stable
0.263691,0.28919,0.272025,-1.521595,0.103991,0.601456,0.394827,-1.176911,-0.636359,-1.446996,0.087001,-0.076665,-1.049433,stable
0.730469,0.90555,-1.32319,0.962829,-0.24298,-0.295252,-0.460777,1.178072,1.498922,1.468423,1.091034,-1.547934,0.870276,unstable
0.343652,-0.990365,-1.308135,-0.031384,-0.382376,-0.244676,-0.422243,1.331087,-1.300695,-0.424807,-0.716337,-0.989643,-1.404437,stable
0.235436,-1.51454,-1.435989,1.286345,0.424337,0.431515,-0.287337,-0.881231,1.249896,-1.3971,-0.662661,0.681478,0.118011,unstable
-1.649168,0.428635,0.371585,-1.627346,-1.112557,0.143486,1.298429,0.490541,-0.195284,-1.690659,-1.10516,0.44709,-1.682196,stable
-1.255103,0.645514,0.520292,-0.029297,-0.103319,0.14209,0.994922,-0.957552,-1.448802,-1.330415,-1.288132,1.142745,-0.660075,stable
1.379792,-1.523534,0.083258,1.517755,-0.458493,0.200325,-0.932845,1.5289,-0.989555,0.924943,-0.867714,-1.106156,-1.326574,stable
-0.281528,-1.126842,-0.610055,-1.259464,-1.061247,-0.670544,0.849342,1.664534,0.647569,-0.463582,0.948374,0.432552,0.47255,unstable
-0.662687,-1.570048,-0.701986,0.90622,0.51136,-0.567965,-0.343368,0.023126,-0.423058,-0.484127,-0.707705,0.477654,-1.046728,stable
-0.171113,1.168016,-0.90967,-0.364699,0.48142,0.221328,0.211523,-1.269053,-1.683239,1.686413,0.973226,-0.847262,0.149049,unstable
1.708648,-0.307546,0.574458,-0.143975,0.531182,0.662772,-0.558027,-1.027381,1.570134,0.957347,0.520871,0.409056,1.635399,unstable
-0.565498,0.959213,1.10891,-1.049663,-0.499654,1.523084,-0.760149,0.104939,-0.909324,-1.614901,0.500054,-1.689431,-0.805368,stable
1.678534,0.704098,-1.298398,-1.29241,-1.810008,1.323779,1.707441,0.112674,1.562852,0.484044,0.959925,-1.612881,0.15316,unstable
0.715746,-0.522974,1.318556,0.462255,-1.267815,-0.929404,1.623075,1.508459,-0.390172,-1.700889,0.194293,-0.767775,0.169976,unstable
1.607964,-0.086738,-1.625797,0.797519,0.181583,-0.998192,0.415868,0.266922,-0.6221,0.92614,-0.765587,0.413561,0.243831,unstable
-1.009206,-0.826092,-0.115301,-1.224473,-1.499941,0.784296,0.928552,0.892475,-0.760553,0.269223,-0.951842,1.324739,-0.950151,stable
-1.37019,1.65798,-0.983462,0.709083,0.131612,-1.389018,-0.378806,1.539221,1.000825,0.471579,-0.741509,-0.934206,-1.157654,stable
1.088119,1.307271,-1.331118,0.864305,0.307062,-0.934463,1.500881,-1.09977,1.047017,-1.389765,1.659437,0.470712,0.261893,unstable
-0.141509,0.326464,1.298652,1.455625,-0.990239,-0.784218,1.006257,1.497955,-1.099346,-1.374512,0.59403,1.379089,1.006166,unstable
-0.439711,1.271798,-1.58736,1.171177,-0.275134,-0.928964,1.538502,-0.131644,0.920936,-0.263768,0.045823,0.841728,0.167754,unstable
-0.408163,0.274232,-1.310762,-1.349553,-1.23261,0.236114,0.541836,1.363031,0.941317,0.658458,-0.586805,0.338467,0.024082,unstable
-0.504448,-0.934953,1.108197,-0.176117,0.281096,1.123507,-1.651565,0.039808,0.935819,1.120624,1.232185,-1.045443,0.676454,unstable
1.452918,0.057449,-0.542708,-0.028269,-1.358529,1.615558,-0.701747,1.445888,0.365379,-1.588224,-1.65172,-1.284804,-0.750318,stable
1.146395,0.181835,-1.195047,0.116158,-0.506414,1.353138,-0.229355,-0.244167,0.93739,-0.574106,-1.117069,-1.428664,-0.087518,unstable
-0.327351,-0.105918,0.685367,-0.528138,0.701064,-0.69606,0.076426,-0.59808,0.999842,0.369512,0.860071,-0.073363,1.598706,unstable
0.879035,-1.440151,0.873799,0.557275,-0.117922,-0.150957,-1.330173,1.685955,0.086916,-1.258483,0.012329,0.719597,0.812478,unstable
1.665651,-1.727737,1.217474,0.003674,-0.471128,0.328249,-0.52808,1.018157,1.48142,0.273331,-0.850877,-0.513046,-0.123031,unstable
-1.730502,-1.497843,0.510993,-0.263539,0.768661,-1.150768,-1.324507,1.140149,-1.442494,-1.092796,-0.773745,0.486605,-0.935583,stable
0.487774,1.204272,0.534888,0.972601,0.184398,-0.383903,1.148627,-1.085015,0.068978,0.217959,1.625833,0.737169,1.986555,unstable
1.471534,-1.5306,-0.694773,1.291148,-0.432562,0.601019,1.284154,-1.133834,1.334338,-1.260183,0.653254,0.660841,0.703005,unstable
-0.036387,0.627291,1.696983,-1.518718,0.697875,-0.7207,0.393224,-0.8847,0.603764,0.573893,1.032314,-0.1596,0.70312,unstable
0.545192,-0.774053,-0.482339,0.914472,-0.45408,0.932417,1.296946,-1.440649,0.849087,1.120438,-0.530553,-1.029448,0.535095,unstable
-0.189678,1.161234,-1.109451,1.367753,0.610063,-1.4886,0.613258,-0.184306,0.017084,-0.467407,0.203608,1.655707,0.694074,unstable
1.721178,0.262012,-1.060101,-0.78995,0.029393,-0.683691,0.658675,-0.026038,-0.356813,1.631236,-0.501843,1.381327,0.506372,unstable
-0.850286,-1.369971,1.234024,-0.714732,0.237745,-0.763837,1.187642,-0.836757,-0.762698,1.067883,0.86452,-0.900503,-1.205089,stable
-0.096534,0.024177,-0.957785,0.60452,-0.279118,1.634349,-1.384976,0.235441,1.568727,-1.325868,-0.754438,1.564226,1.206318,unstable
0.811789,0.16824,0.777579,1.504992,-1.204365,0.440537,1.2847,0.366684,-1.290199,-0.049284,1.131555,-0.021853,1.087141,unstable
-0.459481,1.566422,-1.469751,0.767336,0.285978,1.530458,-0.682866,-1.34432,-0.299253,0.317789,-0.804375,-1.185622,-0.674886,stable
-0.25246,-0.342264,0.132665,1.462001,0.135703,0.43122,0.690859,-1.357788,1.641387,1.577287,-0.506296,-0.033966,1.528368,unstable
-0.231705,-1.385031,-1.388258,-0.075894,0.973297,-1.025921,-0.142385,-0.522262,0.379805,-1.191777,-1.372979,-0.50397,-0.99569,stable
0.033329,0.798086,0.870206,-0.70628,0.82008,-1.445929,0.312107,-0.290615,-0.532911,1.35423,-0.171267,0.764342,1.189742,unstable
1.602667,0.967434,1.284599,0.267505,0.163363,-1.222912,-0.114456,1.053614,1.529831,0.487853,-1.516588,-0.167115,1.263279,unstable
1.679115,-0.080407,-0.215137,1.29948,1.367254,-1.647357,-0.600026,-0.127469,-1.22221,1.411719,1.711522,0.543934,1.489764,unstable
0.319719,-1.016554,0.125112,-1.279229,-0.127606,-0.057316,-0.087358,0.366319,0.15899,0.182312,-0.843441,0.62364,-0.675967,stable
0.460341,-1.524111,-0.666593,0.780344,-0.009607,-0.591172,0.172627,0.435231,1.015878,0.397033,0.805075,0.933085,0.753616,unstable
-0.171736,0.625237,0.115699,0.110095,-1.015029,-0.357779,1.561833,0.559001,-0.527611,-1.22915,-0.244821,-0.541097,-0.133698,unstable
0.256063,-0.72394,0.993081,1.527699,0.284016,-0.090998,-0.409725,0.007401,-1.476534,-1.552839,-1.382347,-1.408306,-1.721306,stable
-0.448298,-1.560325,-0.597359,-0.792191,-0.33819,0.994273,0.657351,-1.064206,0.153009,0.776966,1.439873,-0.326859,0.305699,unstable
1.328047,-0.904113,-0.409137,1.268736,1.466607,-1.341037,-0.987853,-0.218533,-1.197215,-1.137592,0.720878,0.99997,0.281365,unstable
1.052795,0.471042,-1.566956,0.737778,-0.198499,0.119031,1.329804,-1.104052,-0.240131,1.460866,-1.663612,-0.629381,0.71574,unstable
1.51142,-1.077016,0.801151,-0.709211,-0.090132,0.441323,-0.225818,-0.058951,0.384455,-0.642475,-1.697939,1.110995,-0.811395,stable
-0.843727,-0.510501,-1.681738,1.4642,-0.384935,-0.635062,-0.30934,1.613016,0.805697,1.379459,-1.617744,0.773752,-0.119457,unstable
0.591293,1.304958,-1.617631,-1.101284,0.11838,-1.262687,1.019704,0.037362,1.644815,0.086606,-0.772959,-1.541475,0.204207,unstable
1.442422,1.276423,-1.466825,1.47114,0.947765,-1.151778,1.182343,-1.676787,-1.53278,0.215905,-1.135018,0.780163,0.338616,unstable
-0.22998,-0.840768,1.721398,-1.301052,-0.008019,0.267167,0.158618,-0.411856,-0.575319,-1.560621,1.429712,-0.004995,-0.435885,stable
1.378747,0.09154,-0.165278,-1.51014,1.719555,-1.36683,-0.536781,-1.08317,1.295643,-0.68389,0.225905,1.086085,-0.109083,unstable
-1.046728,-1.352054,0.70086,-1.247691,-0.066566,0.891908,-0.753771,-0.022515,1.292183,1.62861,0.694968,1.590257,-0.902673,stable
-0.873029,1.721997,-0.172378,0.967143,0.328212,0.1721,-0.060305,-0.681883,1.154698,0.383663,-1.108981,1.096644,0.658283,unstable
1.469684,1.316863,-0.23702,1.085888,1.300027,-0.048056,-0.487501,-1.722526,1.375848,-1.083462,1.556907,1.089274,1.691768,unstable
1.605365,1.144831,-0.04631,-1.589938,-0.62201,1.532114,-0.402084,-0.049629,1.245669,0.494411,1.533617,1.690572,0.518147,unstable
-1.346547,1.35849,1.694797,0.748751,0.470343,1.336302,-1.379392,-0.773872,1.332189,-1.689557,0.582933,-0.13175,-0.497425,stable
1.659157,-0.684758,-0.070526,0.306119,0.448778,1.155132,-0.582966,-1.351671,-0.890531,-0.633564,-0.270002,1.038732,0.408024,unstable
-1.532266,0.987286,1.471964,0.531114,0.698456,0.386136,-1.360584,-0.238734,-0.392584,1.043249,1.127059,0.851823,1.262159,unstable
1.141453,-0.225967,-1.063113,-0.11517,-1.758946,1.350052,0.687844,1.017305,0.130097,-1.355606,-0.569662,-1.09001,-0.944091,stable
0.763658,1.19436,0.56645,-0.851208,-0.959621,0.534968,1.144026,-0.012181,0.869734,1.403811,1.643776,-1.378387,1.853561,unstable
-0.698846,0.315951,1.506303,1.454683,-0.817989,-0.283483,0.818086,0.886202,-1.093833,-1.627789,-0.141707,-0.962741,-0.607662,stable
1.72943,-0.790851,-0.651873,-0.312654,0.260869,-0.353378,-0.462518,0.362779,-0.036886,-0.380054,1.354679,-1.717748,-0.960752,stable
0.082958,-1.178073,1.198027,-0.235275,-1.396251,1.279038,1.393724,-0.247543,-1.034634,1.328963,-1.21788,1.246028,-0.25792,unstable
-1.684522,-1.37049,-0.653847,-0.088891,1.075314,-1.670343,-1.704626,1.507203,-0.804502,-0.833477,-1.104786,-1.26553,-1.855467,stable
0.695753,0.590684,-0.897196,0.12736,-0.644211,-1.697156,1.262453,1.553665,1.236037,-0.252053,1.345162,0.370653,1.419205,unstable
-1.598117,-0.893135,1.393867,0.104425,0.636419,0.034326,0.490001,-1.629755,0.828539,0.357986,0.304124,-0.587101,-0.970122,stable
1.578565,-0.594032,0.565881,0.819048,-0.106998,0.120177,-0.497035,0.562707,0.728983,0.69699,1.532424,0.466802,1.742282,unstable
1.533602,-0.22756,0.724474,-1.315113,1.035077,-1.427374,-1.626412,1.255908,0.38992,0.535958,1.217366,0.273799,0.783118,unstable
0.583038,-0.644683,-0.962068,-1.24338,0.974627,-1.493131,-1.462246,1.262499,-1.089321,0.666541,0.136783,1.024459,-0.580052,stable
-1.466464,-1.150035,-0.536989,1.086106,0.303054,-0.358036,-0.458893,0.29054,1.492445,-0.889243,-0.526602,-1.335889,-0.713366,stable
-0.12253,1.030981,-0.03242,0.336943,-0.143594,0.43419,-1.108948,0.924175,-0.62622,-0.771802,0.035065,-0.583904,0.185096,unstable
-0.122674,0.367241,-1.470277,-1.084831,-0.837748,-0.20764,0.546956,1.11581,-0.555733,0.634703,-1.103214,0.755158,-0.422136,unstable
-0.273625,-0.15461,-1.708889,-1.634822,1.039714,-0.89696,-1.445244,0.536271,-0.30146,-1.443577,-0.634471,0.396135,-1.359127,stable
-0.976962,0.069308,-0.28199,1.559084,1.299844,-1.159816,0.279614,-1.377562,0.684383,0.720468,-1.402702,0.767413,0.253936,unstable
0.560274,-1.051578,0.924459,0.076779,-1.189946,0.420238,0.420256,1.226382,-0.67518,-1.11737,1.551182,0.588499,1.037841,unstable
-1.244957,-0.505039,0.493436,-0.939355,0.211174,-0.084339,0.868483,-1.150943,1.694838,-1.213765,0.079184,-0.926582,-1.257918,stable
-1.200397,-0.416726,1.063832,-0.08837,-0.883885,0.308114,0.508974,0.718176,0.381176,1.675518,1.357971,-1.473663,0.495441,unstable
1.519319,-1.730007,-0.779275,0.301253,-0.554517,-0.257666,0.138939,1.081895,0.018809,1.617739,-0.25116,-0.400259,-1.475049,stable
-1.356156,-1.293907,-1.447082,1.694389,-1.088151,1.616934,-0.797251,1.070382,0.793158,-1.465757,0.893493,1.183275,-1.64941,stable
-0.835997,0.998842,-0.527448,-0.624097,1.078661,-0.712702,-0.855505,-0.305374,0.642486,0.44417,-0.892401,1.186087,0.414301,unstable
-0.682347,-0.335719,-0.463567,-0.274752,-0.211522,-0.798322,1.415458,-0.249734,-0.102233,-1.41586,-1.194133,1.581611,0.080975,unstable
0.996772,-0.086079,1.306083,-1.514494,0.39005,0.024385,-1.22364,0.521758,0.997489,-0.204658,0.447061,1.563756,0.250543,unstable
0.009627,0.247997,-0.519683,-0.843821,0.497767,-0.025392,-0.355106,-0.484098,0.615537,0.365009,-0.409214,0.444054,1.039921,unstable
-0.130143,-0.95128,0.224863,0.516437,-0.78774,0.426272,-0.642719,1.584712,-0.300055,-0.225206,-1.642958,-1.613162,-1.479898,stable
0.58108,0.36757,1.456559,0.983152,0.656877,0.494177,-1.729731,0.094593,-0.476893,0.628323,1.281451,-0.654331,1.408365,unstable
0.568478,-0.457362,0.976382,-0.971241,-1.176063,0.965844,0.633734,0.443184,-0.202744,-0.089473,0.648466,1.21661,0.642985,unstable
1.056637,0.331726,0.703536,-1.063936,-0.730865,1.664103,0.23142,-0.626048,-1.07404,-0.406691,-0.022235,0.433456,-0.131148,unstable
0.47913,0.971543,1.163545,-0.226617,0.573105,1.336961,-1.565593,-0.766822,0.492613,-0.521567,0.988031,1.484305,1.713196,unstable
0.29593,1.646012,-1.305246,-1.029577,1.371009,-0.104085,-1.377899,-0.899389,-0.083988,0.60541,-0.65476,1.265422,-0.506388,stable
-1.04534,0.869709,-0.476972,-0.65328,0.557386,1.360232,-1.535073,-0.79331,-0.035787,-0.664837,-0.457204,-0.06604,-0.865271,stable
-1.185086,-1.230592,-1.6063,1.731032,1.321159,-1.295805,0.015646,-1.014628,1.494067,-0.081897,0.386072,0.46172,-1.35824,stable
-0.439138,-1.041855,-1.474837,0.192639,0.036325,0.309556,-1.003197,0.630548,-0.707201,-0.846182,-0.688061,1.509727,-0.378781,unstable
1.34562,0.766679,1.084573,1.1297,-1.793027,1.12712,1.66304,0.324239,0.546546,-0.824698,0.677543,1.284495,1.741804,unstable
-0.496419,0.109766,0.219363,-0.604791,-1.53358,-0.186506,1.359661,1.490596,-0.246845,0.920805,-0.495011,-1.556967,0.285362,unstable
-0.509037,-0.297625,-1.142431,-0.828939,-0.276796,0.655866,0.685853,-0.860938,1.300376,-0.806167,-1.448489,-0.872936,-0.693824,stable
0.988673,-0.49916,0.769232,0.644227,-0.099259,1.728313,-1.446607,-0.109297,-0.778981,-0.578597,1.544374,1.320605,1.579384,unstable
1.279409,0.493333,0.124542,0.064972,0.16228,0.421057,0.875574,-1.578503,0.940354,1.148124,-1.731771,-1.419194,0.802838,unstable
-1.538045,1.312577,-1.271144,-0.72221,1.158892,0.528603,-1.563841,-0.977699,-0.976249,0.024005,0.432474,0.560608,-1.21589,stable
-0.832504,1.366864,-0.22048,-0.577957,0.01609,0.947992,-0.635595,-0.340345,-0.758639,0.832771,0.577321,0.513451,0.561357,unstable
-0.453385,-1.475641,1.634008,-0.434079,0.242225,0.378315,-0.972999,0.173952,0.749383,-1.153364,-0.610595,0.757141,-0.488454,stable
1.347618,-0.510813,-0.147893,0.340237,1.339789,-0.448504,-0.538511,-1.340131,-0.093607,0.603625,1.71216,-0.477102,1.256776,unstable
1.217034,0.436573,-1.544525,0.866031,0.684261,-0.353846,-0.947249,0.112569,-1.593962,-0.147842,-1.424266,-0.586303,-0.87043,stable
0.146829,0.224163,0.008965,0.723342,1.698704,-1.448603,0.01155,-1.513512,0.614307,0.841484,-0.135213,0.239434,1.7042,unstable
-1.643041,0.796686,-0.408019,0.678304,0.639142,-0.124374,0.03953,-1.025313,1.538999,-0.236915,0.311875,-0.743921,-1.076743,stable
-0.769346,-0.542548,0.854936,1.596519,-0.423606,1.611522,0.797339,-1.673079,-0.118493,-1.035943,1.600718,-1.229422,0.246601,unstable
0.160671,0.202868,0.370162,-1.494283,2.401371,-1.423736,-1.253523,-1.493803,-0.925382,0.714962,0.686489,1.643815,0.31333,unstable
-0.682684,-0.912578,0.446348,-0.024991,1.24236,-0.462622,-1.43276,-0.262536,-1.660854,0.778158,-0.610861,0.621199,-0.053657,unstable
-1.6005,-1.091182,-0.738875,-1.461567,-0.158193,0.866205,-1.459274,0.867843,-1.458394,-0.875927,0.216113,0.50481,-1.697627,stable
-1.200866,-0.127005,-0.324163,-0.076853,-0.461612,-0.131801,-0.626799,1.560397,-0.349422,-0.14959,0.162983,-0.385398,0.047888,unstable
-1.257973,-1.491377,-1.283911,0.779515,-0.890846,-0.078853,0.786778,0.83943,-0.408606,1.103159,-1.488456,0.533214,-2.022711,stable
-0.829863,-0.453136,1.616175,-1.223459,-0.058274,-0.833751,1.394027,-0.459058,-0.728632,-1.05512,-1.265542,1.34444,-1.360367,stable
-1.438202,0.579487,0.775422,-1.241984,0.876488,-1.202309,0.695739,-1.015847,1.727256,-0.574919,-0.778524,-0.502157,-0.707702,stable
-0.284497,-0.823829,-0.113041,-0.380534,0.316688,0.75726,-0.566004,-0.741327,-0.598173,-0.703454,-1.486692,-1.312475,-1.436332,stable
0.828418,0.649774,-1.549511,-1.213997,0.971601,-0.562525,-0.937013,-0.188084,0.902192,-1.591904,1.257417,-0.329664,-1.549962,stable
1.520733,-0.86554,1.64623,-0.898423,-0.710126,0.077659,0.308298,0.847496,1.098898,-1.418797,0.740324,-0.457655,0.618442,unstable
-0.620427,0.949891,1.509219,1.370866,0.691736,1.358882,-1.485766,-1.074626,0.833394,-0.787876,0.659961,-1.069259,0.434995,unstable
0.747015,-1.177008,-1.057326,-0.996678,-0.395728,1.537676,-0.476135,-0.374181,-0.10822,-1.601014,-1.365763,0.393961,-1.059566,stable
0.353384,1.107623,1.36018,0.43094,0.168808,-1.530411,1.137959,0.099239,-1.72093,0.875377,0.379841,1.311084,1.458855,unstable
-0.757924,-1.64432,1.68831,-1.495351,2.303796,-1.695534,-0.642961,-1.663083,-1.706649,1.032925,1.394265,-1.451628,-1.321063,stable
-0.343835,-0.432962,0.402113,1.078569,0.312644,0.647566,0.013211,-1.203824,0.585349,0.248716,-0.305192,0.463344,1.072037,unstable
-0.728481,1.460436,-1.718962,1.373855,-0.384172,-1.210189,1.400681,0.476793,-0.405272,1.683143,-1.27723,-0.327183,0.354444,unstable
0.731575,0.062837,-0.710031,-0.959955,-1.361868,1.49628,-0.000847,0.870065,0.46842,-0.333765,1.5462,1.090119,0.992849,unstable
0.975437,1.188702,-0.118042,-0.797475,-0.843289,0.469954,0.407005,0.587791,0.362985,-1.209732,-0.379673,1.663563,0.329564,unstable
-1.039712,-0.555937,0.717329,0.455674,-1.3803,0.054606,1.32133,1.021576,-1.71547,1.083116,-1.195239,1.462633,0.572233,unstable
-1.009839,-0.846296,-1.375503,-1.516837,-0.205204,1.01559,-1.2946,0.63544,1.376492,-1.6409,-1.33422,0.351612,-0.862415,stable
0.040954,-0.349907,0.344642,0.076942,1.493378,-0.872877,-1.090253,-0.630793,-0.404203,-0.309691,-0.934457,0.080711,0.317611,unstable
0.824639,0.871553,0.381598,0.517973,1.346881,-1.685679,-1.259738,0.605952,-1.437869,-0.587387,0.759291,-1.617486,0.004413,unstable
-1.531434,0.137362,0.361823,-1.017646,0.344391,-1.373229,1.667802,-0.892764,1.202706,-1.719536,-0.521882,-0.616738,-1.233895,stable
0.017437,-1.532862,0.678391,0.965073,-0.687874,-0.882074,0.805319,1.271557,-0.214264,1.688167,-0.701339,1.559965,0.120254,unstable
-1.725085,-1.699167,-1.603811,-0.245934,-0.269203,-0.437052,0.707599,0.197045,0.735505,-1.425126,0.443968,-1.040066,-1.498223,stable
1.603048,-0.570559,-0.829233,0.840989,1.28025,-0.969057,-1.355818,0.101144,1.05396,1.710765,1.519177,0.501486,1.136824,unstable
-0.664387,-0.235909,0.100728,-1.317437,-0.226328,0.690884,0.427712,-0.725476,1.050869,-0.25968,1.728943,1.059366,1.319936,unstable
-1.298862,-0.050212,-1.238852,-1.234232,0.432418,-1.583514,1.661001,-0.828575,-0.680265,0.258652,1.428774,-1.102123,-1.409927,stable
0.565228,-1.474013,-0.338101,-1.267799,1.173431,0.236649,-0.799006,-1.475834,-0.146662,-0.301712,0.767157,0.865122,-0.709695,stable
-1.079251,-0.810009,1.028689,0.335434,-0.166731,0.33715,0.990794,-1.038341,0.950193,0.894036,-1.060002,-1.093619,-0.981972,stable
-1.144234,1.023331,0.63717,0.938084,0.476797,-0.808893,1.413671,-1.432952,1.479045,1.004653,-0.929849,-1.63809,-0.266476,unstable
1.114775,-1.597298,-0.570346,-0.942091,1.060196,-0.252293,-1.310184,-0.27903,0.204247,-1.337898,0.010464,-0.545866,-1.076895,stable
-0.919758,1.156865,0.201887,-1.611351,0.758777,-0.87818,-1.441271,1.001493,-0.163368,0.330937,-0.821681,-1.571231,-0.734633,stable
-1.379914,0.571869,0.209619,-0.339296,-0.667834,1.22925,-0.109224,0.039969,-1.279993,1.186554,0.770756,-0.657486,0.837254,unstable
-0.072601,0.899443,-1.663474,-0.964349,-0.683506,0.477232,0.658225,0.051758,-0.135303,1.611002,0.414838,0.294506,-0.170548,unstable
0.07725,0.368389,0.777792,0.825131,-0.303434,1.107088,-0.163761,-0.416277,0.840082,-0.948672,-0.233464,1.444312,1.543421,unstable
1.626602,-0.853245,1.253354,-1.655972,-0.41929,0.395496,0.21572,0.11707,0.02601,0.491887,1.187055,-0.169129,-0.071758,unstable
0.194317,-0.189081,-0.531111,-0.386818,0.456651,-0.819775,-1.617022,1.643618,0.332454,0.105476,-1.159401,-0.339889,0.417547,unstable
-0.011668,0.458381,-0.441861,-1.465835,-1.205535,-0.918729,1.670866,1.341816,-0.485211,-0.488719,0.959419,-1.132603,-0.145723,unstable
0.303789,-0.636437,0.065061,-0.129523,-0.29489,1.687397,-0.00704,-1.168148,1.162602,-0.376107,-1.16005,-1.047825,0.26075,unstable
0.910024,-1.673474,-0.076622,0.074788,-0.211719,-1.198342,1.272209,0.293878,0.315889,1.142255,1.125835,-0.342182,0.068605,unstable
0.030128,0.312873,0.343598,-1.177926,-1.382341,1.662534,0.470136,0.268387,1.515415,1.445462,1.300774,1.043997,2.152874,unstable
-0.820201,1.283985,-0.045821,0.115895,0.890373,-0.271047,-1.470398,0.194912,0.570611,-0.496103,1.370448,0.959963,1.40171,unstable
-0.686548,-1.681285,1.457054,1.331553,-0.404367,0.386309,0.140215,0.175841,-1.074858,1.149513,0.846831,1.062348,-0.056362,unstable
-1.644535,0.768883,1.328344,-0.827405,-2.260648,1.387979,1.007186,1.531467,-0.154065,-0.016657,-1.22876,1.443053,-1.212513,stable
-0.071392,1.0468,-1.008507,-0.372001,2.0472,-1.129827,-1.061837,-1.36422,-1.212591,-0.965269,0.204092,0.305886,-0.863784,stable
-0.009279,0.641381,-1.717344,-0.589691,0.588272,-1.191036,0.300367,-0.131129,-1.700126,1.292215,-0.31616,0.634149,-0.388305,unstable
-1.007123,1.029288,-0.921232,1.510463,-2.275057,1.658864,1.613382,0.679416,-0.37489,1.139979,0.723442,0.015004,0.326586,unstable
1.668667,-1.537575,0.8161,-0.727205,0.150889,-0.27982,-0.206075,0.223807,-0.067874,-0.325204,-1.664528,1.373394,-1.605376,stable
0.922372,0.156287,1.23208,1.24111,0.793778,-0.80419,0.463043,-1.037606,0.102516,-0.924322,0.310635,-1.260888,0.614512,unstable
1.468155,-1.044921,0.514782,-0.625907,0.856682,-0.102296,-0.067047,-1.31867,-1.63127,-1.677752,1.041015,-0.00665,-0.383936,unstable
1.085319,0.628199,-0.024269,0.208738,-0.863877,-0.090008,0.043209,1.547309,-0.593466,1.520034,-1.618022,1.536129,1.461529,unstable
